Genre,Song
ACOUSTIC POP,1
BALLAD,17
BIG BEAT,1
CHIP MUSIC,3
CHRISTMAS,1
CONTEMPORARY R&B,1
DANCE,1
DANCE POP,19
DISCO,1
DRUM AND BASS,1
DUBSTEP,1
EDM,3
ELECTRO POP,13
ELECTRO SWING,1
EURO POP,1
FUNK,2
FUNK POP,1
FUTURE BASS,2
HIP HOP,8
JAZZ POP,2
MOOMBAHTON,1
NEO SOUL,1
NU DISCO,1
POP,12
PUNK POP,2
R&B,31
RAP,1
REGGAE FUSION,1
SLOW JAM,1
SOUL,1
SWING,1
SYNTH POP,3
TRAP,3
TROPICAL HOUSE,4
TROPICAL POP,2
URBAN CONTEMPORARY,1
URBAN POP,2
