Artist,Songs,Color
Irene,8,"rgb(255,192,203)"
Wendy,24,"rgb(187,234,255)"
Joy,13,"rgb(152, 255, 152)"
Seulgi,22,"rgb(253, 221, 92)"
Yeri,6,"rgb(238,130,238)"
